date,avg_gas_price_wei,gas_used_daily,gas_limit_per_block,block_time_sec,block_count,block_size_bytes,transaction_count,pol_usd,avg_gas_gwei,gas_used_per_block,utilization,gas_used_per_sec,gas_capacity_per_sec,gas_capacity_daily,transactions_per_sec,log_avg_gas_gwei,log_gas_used_per_sec,log_gas_capacity_per_sec,gas_limit_level_millions,block_time_level_sec,supply_state,supply_epoch_id,baseline_gwei,gas_price_to_baseline_ratio,gwei_above_baseline,is_spike_day,baseline_band,fee_state
2025-12-21 00:00:00+00:00,116990623486,1272437629703,60000000,2.0,43182,121194,5700529,0.11,116.990623486,29466852.61690056,0.491114210281676,14727287.380821759,30000000.0,2592000000000.0,65.9783449074074,4.770605159325343,16.505212683293028,17.216707972959764,60,2.0,60M/2s,6,107.864829283,1.0846039831858174,9.125794202999998,False,middle_baseline,middle_baseline
2025-12-22 00:00:00+00:00,196944922683,1327597260314,60000000,2.0,43193,128249,6769442,0.11,196.944922683,30736398.497765843,0.5122733082960974,15365709.031412037,30000000.0,2592000000000.0,78.35002314814815,5.28798882373089,16.547648963439787,17.216707972959764,60,2.0,60M/2s,6,108.50768459,1.8150320267837539,88.43723809299999,False,middle_baseline,middle_baseline
2025-12-23 00:00:00+00:00,267535135570,1280270702221,60000000,2.0,43192,123540,6881701,0.11,267.53513557,29641385.03012132,0.4940230838353553,14817947.942372685,30000000.0,2592000000000.0,79.64931712962964,5.592981764121368,16.511349770303774,17.216707972959764,60,2.0,60M/2s,6,110.3931696315,2.423475442031882,157.14196593850002,True,middle_baseline,spike_day
2025-12-24 00:00:00+00:00,116800779090,1255741198371,60000000,2.0,43200,120177,6609854,0.11,116.80077909,29068083.295625,0.48446805492708334,14534041.6478125,30000000.0,2592000000000.0,76.50293981481481,4.768994884862849,16.49200422450232,17.216707972959764,60,2.0,60M/2s,6,114.410395954,1.0208930588524585,2.390383136000011,False,middle_baseline,middle_baseline
2025-12-25 00:00:00+00:00,79961184862,1267439393346,60000000,2.0,43200,117051,6299177,0.1,79.961184862,29338874.84597222,0.48898124743287036,14669437.42298611,30000000.0,2592000000000.0,72.9071412037037,4.393969840585225,16.501276868744732,17.216707972959764,60,2.0,60M/2s,6,116.895701288,0.684038711269603,-36.934516426,False,middle_baseline,middle_baseline
2025-12-26 00:00:00+00:00,238565182940,1317575976811,60000000,2.0,43200,125689,6706079,0.1,238.56518294,30499443.907662038,0.5083240651277006,15249721.953831019,30000000.0,2592000000000.0,77.6166550925926,5.478825542410178,16.540071893890772,17.216707972959764,60,2.0,60M/2s,6,116.895701288,2.0408379462324167,121.669481652,True,middle_baseline,spike_day
2025-12-27 00:00:00+00:00,171404009896,1298020031704,60000000,2.0,43200,121294,6883052,0.11,171.404009896,30046759.993148148,0.5007793332191358,15023379.996574074,30000000.0,2592000000000.0,79.6649537037037,5.149840617216641,16.525118278607895,17.216707972959764,60,2.0,60M/2s,6,116.895701288,1.4662986577556516,54.50830860799999,False,middle_baseline,middle_baseline
2025-12-28 00:00:00+00:00,85730226055,1311767633521,60000000,2.0,43200,123135,6766229,0.11,85.730226055,30364991.516689815,0.5060831919448302,15182495.758344907,30000000.0,2592000000000.0,78.31283564814815,4.462802451115198,16.53565379324124,17.216707972959764,60,2.0,60M/2s,6,129.316096536,0.6629509268487219,-43.585870481,False,middle_baseline,middle_baseline
2025-12-29 00:00:00+00:00,497948950774,1295141154374,60000000,2.0,43200,125808,6348899,0.1,497.948950774,29980119.314212963,0.4996686552368827,14990059.657106481,30000000.0,2592000000000.0,73.48262731481482,6.212503787460088,16.522897916575364,17.216707972959764,60,2.0,60M/2s,6,129.316096536,3.8506339435893597,368.63285423800005,True,middle_baseline,spike_day
2025-12-30 00:00:00+00:00,733900909587,1298319853538,60000000,2.0,43200,126584,6575131,0.1,733.900909587,30053700.31337963,0.5008950052229938,15026850.156689815,30000000.0,2592000000000.0,76.10105324074074,6.599735673235788,16.525349235900567,17.216707972959764,60,2.0,60M/2s,6,142.2382342535,5.159659872316935,591.6626753335,True,middle_baseline,spike_day
2025-12-31 00:00:00+00:00,506964387480,1292220912278,60000000,2.0,43192,122521,6281521,0.1,506.96438748,29918061.499305427,0.4986343583217571,14956260.558773149,30000000.0,2592000000000.0,72.70278935185185,6.230411341735298,16.520640603477514,17.216707972959764,60,2.0,60M/2s,6,144.026025204,3.5199498615748803,362.938362276,True,middle_baseline,spike_day
2026-01-01 00:00:00+00:00,90745022563,1281336371878,60000000,2.0,43200,116017,5632483,0.11,90.745022563,29660564.163842592,0.4943427360640432,14830282.081921296,30000000.0,2592000000000.0,65.19077546296296,4.519013235468545,16.512181802395943,17.216707972959764,60,2.0,60M/2s,6,157.1194544085,0.5775543385421201,-66.37443184549998,False,middle_baseline,middle_baseline
2026-01-02 00:00:00+00:00,694050722966,1321982660174,60000000,2.0,43200,124103,5719402,0.11,694.050722966,30601450.46699074,0.5100241744498457,15300725.23349537,30000000.0,2592000000000.0,66.19678240740741,6.543984825586578,16.543410851477706,17.216707972959764,60,2.0,60M/2s,6,157.1194544085,4.4173442784590815,536.9312685575,True,middle_baseline,spike_day
2026-01-03 00:00:00+00:00,607167988713,1297379925436,60000000,2.0,43200,122975,5527935,0.12,607.167988713,30031942.718425926,0.5005323786404321,15015971.359212963,30000000.0,2592000000000.0,63.98072916666667,6.410451141028447,16.524625016491125,17.216707972959764,60,2.0,60M/2s,6,184.1744662895,3.296700139522084,422.9935224235,True,middle_baseline,spike_day
2026-01-04 00:00:00+00:00,733258850928,1297726388426,60000000,2.0,43200,126293,5886084,0.12,733.258850928,30039962.695046294,0.5006660449174383,15019981.347523147,30000000.0,2592000000000.0,68.12597222222222,6.598861624385375,16.524892029034802,17.216707972959764,60,2.0,60M/2s,6,217.75505281149998,3.367356309122006,515.5037981165001,True,middle_baseline,spike_day
2026-01-05 00:00:00+00:00,2359010639418,1298964464671,60000000,2.0,43200,137168,5956522,0.13,2359.010639418,30068621.86738426,0.5011436977897377,15034310.93369213,30000000.0,2592000000000.0,68.94122685185185,7.76642140623746,16.525845609053732,17.216707972959764,60,2.0,60M/2s,6,253.050159255,9.322304504226027,2105.9604801630003,True,middle_baseline,spike_day
2026-01-06 00:00:00+00:00,2153306866609,1317926867366,61285507,2.0,43200,135833,5391799,0.13,2153.306866609,30507566.37421296,0.4977941420018433,15253783.18710648,30642753.5,2647533902400.0,62.405081018518516,7.675224311176136,16.540338173652028,17.237906797621072,60,2.0,60M/2s,6,382.742043172,5.626000344156933,1770.5648234369999,True,middle_baseline,spike_day
2026-01-07 00:00:00+00:00,820858060994,1406532497133,65000000,2.0,43200,134209,6096743,0.13,820.858060994,32558622.618819445,0.5009018864433761,16279311.309409723,32500000.0,2808000000000.0,70.56415509259259,6.711567704956322,16.605405676209724,17.296750678069195,65,2.0,65M/2s,7,502.45666912700005,1.633689254080776,318.4013918669999,False,high_baseline,high_baseline
2026-01-08 00:00:00+00:00,1081009920023,1406005562730,65000000,2.0,43198,139767,5812262,0.14,1081.009920023,32547931.911894068,0.5007374140291395,16273212.531597223,32500000.0,2808000000000.0,67.27155092592592,6.986575627592679,16.605030972390203,17.296750678069195,65,2.0,65M/2s,7,557.0661880965,1.940541255459823,523.9437319264999,False,high_baseline,high_baseline
2026-01-09 00:00:00+00:00,776168650160,1550438403758,63998986,2.0,43200,151109,6256008,0.16,776.16865016,35889777.86476852,0.5607866641007174,17944888.93238426,31999493.0,2764756195200.0,72.4075,6.655657379788032,16.70281594893591,17.281230648138983,65,2.0,65M/2s,7,650.6093558395,1.1929872252735856,125.55929432049993,False,high_baseline,high_baseline
2026-01-10 00:00:00+00:00,385000423729,1471728059076,52414592,2.0,43199,135849,6095599,0.18,385.000423729,34068567.769531704,0.6499825042906315,17033889.572638888,26207296.0,2264310374400.0,70.55091435185186,5.955838467207752,16.650715480607044,17.081548441404593,50,2.0,50M/2s,8,713.654786947,0.5394771124229736,-328.65436321800007,False,high_baseline,high_baseline
2026-01-11 00:00:00+00:00,385619077319,1440276210806,51433170,2.0,43200,133082,5975514,0.16,385.619077319,33339727.10199074,0.6482145102468065,16669863.55099537,25716585.0,2221912944000.0,69.16104166666666,5.957439911958702,16.62911312937875,17.062646711353818,50,2.0,50M/2s,8,713.654786947,0.5403439931632353,-328.03570962800006,False,high_baseline,high_baseline
2026-01-12 00:00:00+00:00,553343673620,1513541393730,54934313,2.02,42857,145854,6267069,0.15,553.34367362,35316083.57397858,0.642878405960562,17517840.205208335,27195204.455445543,2349665664950.495,72.53552083333334,6.317784843904661,16.678730416999645,17.118551245708456,55,2.0,55M/2s,9,713.654786947,0.7753660225375807,-160.31111332700004,False,high_baseline,high_baseline
2026-01-13 00:00:00+00:00,688886540042,1538503275235,55186382,2.0,43189,151018,6047660,0.16,688.886540042,35622572.303943135,0.6454957004418795,17806750.87077546,27593191.0,2384051702400.0,69.99606481481482,6.536527149348695,16.6950882619221,17.133079633593486,55,2.0,55M/2s,9,713.654786947,0.965293798405027,-24.76824690500007,False,high_baseline,high_baseline
2026-01-14 00:00:00+00:00,652102273577,1549251456013,55466289,2.0,43200,144967,6207305,0.16,652.102273577,35862302.222523145,0.6465603318535182,17931151.111261573,27733144.5,2396143684800.0,71.84380787037037,6.481733738110637,16.702050099582884,17.138138844263853,55,2.0,55M/2s,9,691.468631504,0.9430684833216874,-39.36635792699997,False,high_baseline,high_baseline
2026-01-15 00:00:00+00:00,593615127959,1508807247240,54378538,2.0,43200,143912,6025947,0.15,593.615127959,34926093.68611111,0.6422771735075171,17463046.843055554,27189269.0,2349152841600.0,69.74475694444445,6.387914352485556,16.67559765459959,17.118332968142315,55,2.0,55M/2s,9,691.468631504,0.8584845369888137,-97.85350354499997,False,high_baseline,high_baseline
2026-01-16 00:00:00+00:00,516367846890,1475930480956,52767649,2.0,43200,139528,5893307,0.14,516.36784689,34165057.429537036,0.6474621870975725,17082528.714768518,26383824.5,2279562436800.0,68.20957175925926,6.248754124198978,16.653566845121496,17.088261709902763,55,2.0,55M/2s,9,691.468631504,0.7467697352616826,-175.10078461399996,False,high_baseline,high_baseline
2026-01-17 00:00:00+00:00,382315348768,1451926639663,52024430,2.0,43200,133097,5711768,0.15,382.315348768,33609412.95516203,0.646031354022755,16804706.477581017,26012215.0,2247455376000.0,66.10842592592593,5.948858015331193,16.63716961212171,17.07407683179646,50,2.0,50M/2s,10,670.4944068095,0.5701991618203356,-288.1790580415,False,high_baseline,high_baseline
2026-01-18 00:00:00+00:00,308672947584,1437179172036,51261656,2.0,43200,134630,5689409,0.14,308.672947584,33268036.38972222,0.6489848160528061,16634018.19486111,25630828.0,2214503539200.0,65.8496412037037,5.735516732773188,16.62696050536352,17.05930644272548,50,2.0,50M/2s,10,670.4944068095,0.4603661782248092,-361.8214592255,False,high_baseline,high_baseline
2026-01-19 00:00:00+00:00,292499604892,1416960688947,50643099,2.0,43200,136645,6097312,0.14,292.499604892,32800015.94784722,0.6476700003656416,16400007.97392361,25321549.5,2187781876800.0,70.57074074074075,5.681876293073037,16.61279243998474,17.047166389542326,50,2.0,50M/2s,10,622.8587007680001,0.46960828279566585,-330.3590958760001,False,high_baseline,high_baseline
